ball_x, ball_y, ball_vel_x, ball_vel_y, paddle_a_x, paddle_a_y, paddle_b_x, paddle_b_y,sigmoid
1490,580,10,10,25,1350,2535,760,0.000000
1490,580,10,10,25,1350,2535,750,0.000000
1500,590,10,10,25,1350,2535,750,0.000000
1500,590,10,10,25,1350,2535,740,0.000000
1510,600,10,10,25,1350,2535,740,0.000000
1510,600,10,10,25,1350,2535,730,0.000000
1520,610,10,10,25,1350,2535,730,0.000000
1520,610,10,10,25,1350,2535,720,0.000000
1530,620,10,10,25,1350,2535,720,0.000000
1530,620,10,10,25,1350,2535,710,0.000000
1540,630,10,10,25,1350,2535,710,0.000000
1540,630,10,10,25,1350,2535,700,0.000000
1550,640,10,10,25,1350,2535,700,0.000000
1550,640,10,10,25,1350,2535,690,0.000000
1560,650,10,10,25,1350,2535,690,0.000000
1560,650,10,10,25,1350,2535,680,0.000000
1570,660,10,10,25,1350,2535,680,0.000000
1570,660,10,10,25,1350,2535,670,0.000000
1580,670,10,10,25,1350,2535,670,0.000000
1580,670,10,10,25,1350,2535,660,0.000000
1590,680,10,10,25,1350,2535,660,0.000000
1590,680,10,10,25,1350,2535,650,0.000000
1600,690,10,10,25,1350,2535,650,0.000000
1600,690,10,10,25,1350,2535,640,0.000000
1610,700,10,10,25,1350,2535,640,0.000000
1610,700,10,10,25,1350,2535,630,0.000000
1620,710,10,10,25,1350,2535,630,0.000000
1620,710,10,10,25,1350,2535,620,0.000000
1630,720,10,10,25,1350,2535,620,0.000000
1630,720,10,10,25,1350,2535,610,0.000000
1640,730,10,10,25,1350,2535,610,0.000000
1640,730,10,10,25,1350,2535,600,0.000000
1650,740,10,10,25,1350,2535,600,0.000000
1650,740,10,10,25,1350,2535,590,0.000000
